cluster_id,pattern_name,total_plays,goals,shots,losses,avg_duration,avg_forward_progress,avg_events,wing_plays
1,Wing Attack Medium Short,11,0,0,11,5.096090909091009,19.85545454545455,5.545454545454546,10
2,Mixed Attack Fast Short,9,0,0,9,4.994111111111039,7.481111111111111,5.111111111111111,5
3,Wing Attack Fast Mid,8,0,1,7,4.821500000000157,20.72375,4.75,7
4,Central Attack Fast Short Low-Conv,7,1,2,5,4.037571428571482,6.939999999999999,3.7142857142857144,2
5,Wing Attack Fast Short,7,0,0,7,4.166142857142863,16.93,4.285714285714286,6
6,Wing Attack Medium Mid,7,0,0,7,5.8630000000000075,25.851428571428567,4.428571428571429,5
7,Wing Attack Fast Short,7,0,0,7,3.6751428571427676,18.11428571428571,3.2857142857142856,5
8,Mixed Attack Fast Short,7,0,0,7,3.6845714285715467,15.667142857142858,3.142857142857143,4
9,Wing Attack Fast Short,7,0,0,7,4.852857142857098,13.87857142857143,4.571428571428571,5
10,Wing Attack Medium Deep,7,0,2,5,7.812571428571346,37.19285714285714,6.142857142857143,5
11,Wing Attack Fast Short,7,0,1,6,3.841857142857301,7.471428571428571,3.857142857142857,7
12,Mixed Attack Medium Mid,7,0,0,7,5.238857142857049,20.618571428571425,5.142857142857143,3
13,Mixed Attack Fast Short,7,0,0,7,3.2792857142857748,11.749999999999998,3.857142857142857,4
14,Mixed Attack Medium Deep,7,0,2,5,5.1100000000000625,30.471428571428568,3.857142857142857,4
15,Central Attack Fast Deep,7,0,0,7,4.604428571428733,31.365714285714287,3.7142857142857144,1
16,Mixed Attack Fast Short,7,0,1,6,3.5035714285716364,11.215714285714286,3.857142857142857,4
17,Mixed Attack Medium Deep,6,0,1,5,7.284833333333533,49.173333333333325,4.666666666666667,3
18,Wing Attack Fast Short,6,0,0,6,3.45933333333331,16.735,3.3333333333333335,5
19,Mixed Attack Fast Mid,6,0,0,6,4.838333333333111,23.055000000000003,3.5,4
20,Mixed Attack Medium Short,6,0,0,6,6.395500000000311,10.188333333333334,5.0,4
21,Mixed Attack Medium Short,6,0,0,6,5.444333333333314,12.940000000000003,3.8333333333333335,2
22,Mixed Attack Fast Mid High-Conv,6,2,3,3,4.854833333333431,26.076666666666668,4.833333333333333,2
23,Mixed Attack Medium Mid,6,0,0,6,5.294499999999914,20.655,4.333333333333333,3
24,Wing Attack Medium Short,6,0,0,6,8.108166666666724,18.013333333333335,7.0,6
